ip_address,rtt,type,hop_num
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,19
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
null,null,null,20
